Time;Huge;GPU;Large;Medium;Short;isStart;ID
4871;120;8;60;39;12;1;0
5693;120;8;60;39;11;1;1
7566;120;8;60;39;10;1;2
9266;120;8;60;39;11;0;1
9498;120;8;60;40;11;0;0
10634;120;8;60;40;12;0;2
10823;120;8;60;19;12;1;4
10882;120;8;60;18;12;1;5
11323;120;8;60;1;12;1;6
11673;120;8;60;1;11;1;7
14006;120;8;60;1;12;0;7
15597;120;8;60;2;12;0;5
16451;120;8;60;2;10;1;8
16909;120;8;60;0;10;1;9
18814;120;8;60;0;9;1;10
19770;120;8;60;0;11;0;8
19882;120;8;60;0;12;0;10
20702;120;8;60;2;12;0;9
21550;120;8;60;2;11;1;11
24538;120;8;60;2;12;0;11
25043;120;8;31;2;12;1;12
27794;120;8;31;19;12;0;6
27878;120;8;31;18;12;1;13
32092;120;8;31;19;12;0;13
33287;120;8;31;18;12;1;15
36325;120;8;31;39;12;0;4
36326;120;8;31;16;12;1;14
37122;120;8;31;17;12;0;15
37769;120;8;31;17;11;1;16
38662;120;5;31;17;11;1;17
39747;120;5;31;17;10;1;20
40328;120;5;31;17;11;0;16
42781;120;5;31;17;12;0;20
45353;120;8;31;17;12;0;17
52442;120;8;31;40;12;0;14
52443;120;8;31;22;12;1;18
52444;120;8;31;0;12;1;19
61201;120;8;31;22;12;0;19
61202;120;8;31;21;12;1;21
61203;120;8;31;20;12;1;22
61204;120;8;31;7;12;1;23
63113;120;8;60;7;12;0;12
63521;120;8;60;25;12;0;18
65543;120;8;60;26;12;0;21
66316;120;8;60;27;12;0;22
68322;120;8;60;26;12;1;24
72783;120;8;60;27;12;0;24
76435;120;8;60;3;12;1;25
79158;120;8;60;16;12;0;23
80052;120;8;60;16;11;1;26
80322;120;8;60;16;10;1;27
81550;120;8;60;16;8;1;28
81913;120;8;60;14;8;1;29
82684;120;8;60;14;9;0;26
82881;120;8;60;14;8;1;30
83650;120;8;60;14;9;0;27
83854;120;8;60;14;8;1;31
84512;120;8;60;14;10;0;28
85733;120;8;60;14;11;0;30
85819;120;8;60;16;11;0;29
85988;120;8;60;15;11;1;33
86872;120;6;60;15;11;1;34
87033;120;6;60;15;12;0;31
87614;120;6;60;15;11;1;35
89981;120;6;60;15;12;0;35
90208;120;6;60;16;12;0;33
95533;120;6;60;16;10;1;36
96014;120;6;60;40;10;0;25
96015;120;6;60;20;10;1;32
97700;120;6;60;19;10;1;37
98043;120;8;60;19;10;0;34
98656;120;8;60;19;12;0;36
101263;120;8;60;19;11;1;38
102230;120;8;60;20;11;0;37
103392;120;8;60;20;9;1;39
104730;120;8;60;20;10;0;38
104931;120;8;60;20;12;0;39
110040;120;8;60;20;11;1;40
111544;120;8;60;1;11;1;41
112058;120;8;60;1;12;0;40
112767;120;8;60;21;12;0;32
114094;120;8;60;21;10;1;42
115389;120;8;60;20;10;1;43
115698;120;8;60;20;9;1;44
116922;120;8;60;20;11;0;42
117071;120;5;60;20;11;1;45
118947;120;5;60;20;12;0;44
119348;120;5;60;21;12;0;43
122112;120;5;60;20;12;1;46
123183;120;5;60;2;12;1;47
123232;120;5;60;21;12;0;41
124630;120;8;60;21;12;0;45
126560;120;8;60;22;12;0;46
128473;120;8;60;21;12;1;48
130005;120;8;60;20;12;1;49
132483;120;8;60;21;12;0;48
132634;120;8;60;20;12;1;50
134306;120;8;60;21;12;0;49
137572;120;8;60;21;10;1;51
137764;120;8;60;22;10;0;50
139779;120;8;60;40;10;0;47
140744;120;8;60;40;12;0;51
143812;120;8;60;39;12;1;52
144593;120;8;60;24;12;1;53
144637;120;8;60;24;11;1;54
147342;120;8;60;24;12;0;54
147554;120;8;60;25;12;0;52
148643;120;8;60;23;12;1;55
150647;120;8;60;22;12;1;57
152345;120;8;60;24;12;0;55
155431;120;8;60;25;12;0;57
155590;120;8;60;25;10;1;58
158009;120;8;60;24;10;1;59
158667;120;8;60;24;12;0;58
162390;120;8;60;25;12;0;59
166708;120;8;60;40;12;0;53
168627;120;5;60;40;12;1;60
174486;120;5;60;39;12;1;61
178222;120;5;60;40;12;0;61
182067;120;8;60;40;12;0;60
185889;120;8;60;25;12;1;62
188474;120;8;60;24;12;1;63
190930;120;8;60;24;11;1;64
192805;120;8;60;25;11;0;63
193956;120;8;60;40;11;0;62
194343;120;8;60;40;12;0;64
198388;120;8;60;39;12;1;65
198474;120;8;60;38;12;1;66
202219;120;8;60;39;12;0;66
202614;120;8;60;40;12;0;65
205465;120;8;60;38;12;1;67
209839;120;8;60;40;12;0;67
212933;120;8;60;40;11;1;68
216249;120;8;60;40;12;0;68
216691;120;8;60;39;12;1;69
220757;120;8;60;40;12;0;69
230571;120;8;60;39;12;1;70
233220;120;8;60;39;11;1;71
234976;120;8;60;39;10;1;72
235699;120;8;60;40;10;0;70
236428;120;8;60;40;9;1;73
236690;120;8;60;40;10;0;71
237176;120;8;60;40;11;0;72
238947;120;8;60;39;11;1;74
239766;120;8;60;39;12;0;73
242199;120;8;60;39;11;1;75
243185;120;8;60;40;11;0;74
245090;120;8;60;40;12;0;75
246215;120;8;60;39;12;1;76
247461;120;8;60;39;11;1;77
250059;120;8;60;39;12;0;77
250354;120;8;60;40;12;0;76
252802;120;8;60;21;12;1;78
258379;120;8;60;21;11;1;79
260212;120;8;60;21;12;0;79
260625;120;8;60;40;12;0;78
260927;120;8;60;22;12;1;80
272274;120;8;60;40;12;0;80
285018;120;8;60;14;12;1;81
286879;120;8;60;13;12;1;82
288447;120;8;60;13;10;1;83
288577;120;8;13;13;10;1;84
290985;120;8;13;14;10;0;82
291361;120;8;13;14;12;0;83
293528;120;8;13;14;11;1;85
296089;120;8;13;14;9;1;86
297037;120;8;13;14;10;0;85
299422;120;8;13;14;12;0;86
300250;120;8;13;40;12;0;81
301883;120;8;13;40;11;1;87
305455;120;8;13;40;12;0;87
307645;120;8;13;39;12;1;88
313311;120;8;13;40;12;0;88
332106;120;8;13;39;12;1;90
333029;120;8;13;38;12;1;91
334314;120;8;60;38;12;0;84
336590;120;8;60;39;12;0;90
336727;120;8;60;39;11;1;92
337119;120;8;60;40;11;0;91
338669;120;8;60;40;12;0;92
352565;120;8;60;39;12;1;93
356672;120;8;60;40;12;0;93
358440;120;8;60;39;12;1;94
358956;120;8;60;38;12;1;95
359337;120;8;60;37;12;1;96
361333;120;8;60;36;12;1;97
362104;120;8;60;37;12;0;94
362676;120;8;60;38;12;0;95
363625;120;8;60;38;11;1;98
364123;120;8;60;39;11;0;96
366397;120;8;60;39;12;0;98
366987;120;8;60;40;12;0;97
369447;120;8;60;39;12;1;99
372398;120;8;60;38;12;1;100
373090;120;8;60;39;12;0;99
377356;120;8;60;40;12;0;100
379630;120;8;60;40;11;1;101
382792;120;8;60;40;12;0;101
392714;120;8;60;40;11;1;102
394463;120;8;60;40;12;0;102
398281;120;8;60;39;12;1;103
402033;120;8;60;40;12;0;103
406800;37;8;60;40;12;1;3
488035;30;8;60;40;12;1;56
488035;120;8;60;40;12;0;3
560710;120;8;60;40;12;0;56
636211;120;8;60;39;12;1;142
637200;120;8;60;38;12;1;104
637201;120;8;60;38;10;1;105
637202;120;8;60;18;10;1;106
637203;120;8;60;18;8;1;107
637204;120;8;60;17;8;1;108
637205;120;8;60;16;8;1;109
637206;120;8;60;16;7;1;110
637207;120;2;60;16;7;1;111
637208;120;2;60;15;7;1;112
637209;120;2;60;14;7;1;113
637210;120;2;60;14;6;1;116
637211;120;2;60;13;6;1;117
637212;120;2;60;13;5;1;118
637213;120;1;60;13;5;1;120
637214;120;1;60;13;4;1;122
637215;120;1;60;13;3;1;124
637216;120;1;60;13;2;1;125
637217;120;1;60;13;1;1;127
637218;120;1;60;13;0;1;130
637219;120;1;36;13;0;1;136
637220;120;1;36;12;0;1;137
637221;120;1;36;10;0;1;139
638881;120;1;36;10;1;0;130
639294;120;1;36;10;2;0;124
639295;120;1;36;10;0;1;128
639555;120;1;36;10;1;0;127
639556;120;1;36;10;0;1;129
639595;120;1;36;10;1;0;122
639596;120;1;36;10;0;1;132
640126;120;1;36;10;1;0;116
640127;120;1;36;10;0;1;133
640167;120;1;36;10;1;0;125
640187;120;1;36;10;3;0;107
640188;120;1;36;10;1;1;134
640290;120;1;36;10;2;0;118
640291;120;1;36;10;0;1;141
640410;120;1;36;10;2;0;105
640419;120;1;36;11;2;0;142
640519;120;1;36;11;1;1;143
640774;120;1;36;11;2;0;110
641271;120;1;36;12;2;0;137
641350;120;1;36;14;2;0;139
641412;120;1;36;15;2;0;112
641462;120;1;36;16;2;0;108
641621;120;1;36;16;3;0;132
641741;120;1;36;17;3;0;109
641812;120;1;36;18;3;0;104
641813;120;1;36;0;3;1;119
642118;120;1;36;1;3;0;113
642119;120;1;36;0;3;1;121
642415;120;1;36;0;5;0;128
642426;120;1;36;0;7;0;134
642513;120;1;36;0;8;0;143
642724;120;1;36;0;9;0;133
642885;120;1;36;0;10;0;129
643166;120;1;36;1;10;0;117
643167;120;1;36;0;10;1;135
643412;120;1;36;0;12;0;141
646761;120;1;36;1;12;0;121
647218;120;2;36;1;12;0;120
648338;120;2;36;2;12;0;135
649331;120;2;36;22;12;0;106
649332;120;2;36;0;12;1;114
654834;120;8;36;0;12;0;111
654835;120;5;36;0;12;1;126
654836;120;1;36;0;12;1;138
655238;120;1;36;18;12;0;119
655239;120;1;36;16;12;1;131
655240;120;1;36;15;12;1;144
659080;120;1;36;16;12;0;144
659608;120;1;36;16;10;1;146
661397;120;1;36;18;10;0;131
662686;120;1;36;18;12;0;146
662796;120;5;36;18;12;0;138
670707;120;5;36;18;11;1;148
673894;120;5;36;18;12;0;148
676080;120;5;36;40;12;0;114
676081;120;5;36;20;12;1;115
676082;120;5;36;1;12;1;140
676618;120;8;36;1;12;0;126
685891;120;8;36;20;12;0;140
687297;120;8;36;40;12;0;115
687298;120;8;36;18;12;1;123
687748;120;8;60;18;12;0;136
689361;120;8;60;18;11;1;150
692121;120;8;60;18;12;0;150
698056;120;8;60;40;12;0;123
698057;120;8;60;17;12;1;145
714378;120;8;60;40;12;0;145
714379;120;8;60;19;12;1;147
727911;120;8;60;19;11;1;152
727942;120;8;60;40;11;0;147
727943;120;8;60;20;11;1;149
728962;120;8;60;20;12;0;152
733726;120;8;60;19;12;1;153
738399;120;8;60;20;12;0;153
745572;120;8;60;40;12;0;149
745573;120;8;60;19;12;1;151
758851;120;8;60;40;12;0;151
787648;120;8;60;40;11;1;154
788670;120;8;60;40;12;0;154
803276;120;8;60;39;12;1;155
807055;120;8;60;40;12;0;155
816183;120;8;60;23;12;1;156
841027;120;8;60;40;12;0;156
852366;120;8;60;40;11;1;157
855179;120;8;60;40;12;0;157
863798;120;8;60;17;12;1;158
877936;120;8;60;17;11;1;159
879818;120;8;60;17;12;0;159
884459;120;8;60;40;12;0;158
902875;120;8;60;39;12;1;160
906762;120;8;60;40;12;0;160
932553;120;8;60;40;11;1;161
934745;120;8;60;40;12;0;161
945211;120;8;60;40;11;1;162
947610;120;8;60;40;12;0;162
960750;120;6;60;40;12;1;163
973699;120;8;60;40;12;0;163
1004779;120;8;33;40;12;1;164
1013720;120;8;33;40;11;1;165
1016906;120;8;33;40;12;0;165
1020466;120;8;33;40;11;1;166
1023224;120;8;33;40;12;0;166
1039457;120;8;60;40;12;0;164
1274400;120;8;60;40;11;1;167
1274401;120;8;60;23;11;1;168
1274402;120;8;60;23;10;1;169
1274403;120;8;60;22;10;1;170
1274404;120;8;60;21;10;1;171
1274405;120;8;38;21;10;1;173
1274406;120;8;38;21;8;1;175
1276407;120;8;38;21;9;0;169
1276902;120;8;38;21;11;0;175
1277480;120;8;38;21;12;0;167
1278060;120;8;38;22;12;0;171
1278061;120;8;38;0;12;1;172
1278232;120;8;38;1;12;0;170
1278233;120;8;38;0;12;1;174
1282325;120;8;38;1;12;0;174
1300077;120;8;38;23;12;0;172
1301589;120;8;38;40;12;0;168
1311781;120;8;60;40;12;0;173
1311891;120;8;60;40;11;1;176
1314547;120;8;60;40;12;0;176
1350041;120;8;60;40;11;1;177
1353117;120;8;60;40;12;0;177
1384283;120;8;60;39;12;1;178
1388030;120;8;60;40;12;0;178
1390162;120;8;60;39;12;1;179
1394036;120;8;60;40;12;0;179
1411723;120;8;60;23;12;1;180
1415386;120;3;60;23;12;1;181
1422051;120;8;60;23;12;0;181
1430681;120;8;60;40;12;0;180
1433043;120;3;60;40;12;1;182
1440647;120;8;60;40;12;0;182
1533551;120;7;60;40;12;1;183
1547210;120;8;60;40;12;0;183
1578577;120;8;60;40;11;1;184
1582069;120;8;60;40;12;0;184
1681200;38;8;60;40;12;1;89
1869672;120;8;60;40;12;0;89
1911600;120;8;60;39;12;1;185
1911601;120;5;60;39;12;1;186
1911602;120;5;60;38;12;1;187
1911603;120;0;60;38;12;1;188
1911604;120;0;22;38;12;1;189
1911605;120;0;22;38;11;1;190
1915077;120;0;22;38;12;0;190
1915487;120;0;22;39;12;0;187
1915901;120;0;22;40;12;0;185
1920242;120;3;22;40;12;0;186
1933069;120;8;22;40;12;0;188
1933070;120;2;22;40;12;1;191
1950820;120;8;22;40;12;0;191
1959347;120;8;60;40;12;0;189
2013029;120;8;60;39;12;1;192
2017326;120;8;60;40;12;0;192
2376858;120;8;60;40;11;1;193
2378745;120;8;60;40;12;0;193
2379703;120;8;60;40;11;1;194
2382129;120;8;60;40;12;0;194
2402503;120;8;60;39;12;1;195
2407312;120;8;60;40;12;0;195
2424221;120;8;60;40;11;1;196
2426964;120;8;60;40;12;0;196
2746846;120;8;60;19;12;1;197
2758497;120;8;60;40;12;0;197
2760684;120;8;60;40;10;1;198
2763786;120;8;60;40;12;0;198
2799344;120;8;60;40;11;1;199
2801245;120;8;60;40;12;0;199
